month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,totals
2002-12,Oklahoma,0,0,4039,13459,0,308,0,13,62,0,746,1573,0,0,0,0,0,0,0,0,0,20200
2002-12,Oregon,100,0,4269,11488,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16020
2002-12,Pennsylvania,464,0,0,50168,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50909
2002-12,Puerto Rico,0,0,513,144,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672
2002-12,Rhode Island,0,0,281,479,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830
2002-12,South Carolina,667,0,3649,11454,0,105,0,4,9,0,397,676,0,0,0,0,0,0,0,0,0,16961
2002-12,South Dakota,0,0,782,3933,0,44,0,0,5,0,66,181,0,0,0,0,0,0,0,0,0,5011
2002-12,Tennessee,0,0,9252,22229,0,318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31800
2002-12,Texas,9000,0,14673,51750,0,987,0,50,102,0,2710,5195,0,0,0,0,0,0,0,0,0,84467
2002-12,Utah,0,0,2082,7450,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9597
2002-12,Vermont,0,0,437,1280,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744
2002-12,Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-12,Virginia,0,0,6758,18489,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25462
2002-12,Washington,3961,0,4359,9585,0,245,14,10,10,0,529,813,0,0,0,0,0,0,0,0,0,19526
2002-12,West Virginia,0,0,3464,9895,0,208,0,3,5,0,413,1238,0,0,0,0,0,0,0,0,0,15226
2002-12,Wisconsin,0,0,3658,13156,0,0,0,0,3,0,1,120,0,0,0,0,0,0,0,0,0,16938
2002-12,Wyoming,122,0,800,2292,0,52,0,1,16,0,78,205,0,0,0,0,0,0,0,0,0,3566
2002-11,Alabama,0,0,5226,16567,0,320,0,31,66,0,1393,3154,0,0,0,0,0,0,0,0,0,26757
2002-11,Alaska,0,0,770,1737,0,54,0,9,7,0,71,153,0,0,0,0,0,0,0,0,0,2801
2002-11,Arizona,2303,0,3623,4787,0,197,0,29,17,0,783,691,0,0,0,0,0,0,0,0,0,12430
2002-11,Arkansas,431,0,2265,12580,0,229,0,8,42,0,632,3204,0,0,0,0,0,0,0,0,0,19391
2002-11,California,10970,0,21645,22253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54868
2002-11,Colorado,0,0,5378,11374,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17115
2002-11,Connecticut,2760,0,2002,3014,0,202,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8167
2002-11,Delaware,0,0,403,1638,0,16,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,2067
2002-11,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-11,Florida,0,0,10420,16300,0,458,0,24,18,0,562,723,0,0,0,0,0,0,0,0,0,28505
2002-11,Georgia,1848,0,5343,14818,0,226,6198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28433
2002-11,Guam,0,0,19,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2002-11,Hawaii,553,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554
2002-11,Idaho,743,0,892,3142,0,74,0,4,13,0,233,603,0,0,0,0,0,0,0,0,0,5704
2002-11,Illinois,29619,0,4435,11067,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45317
2002-11,Indiana,6963,0,1483,10101,0,9,0,0,2,0,0,594,0,0,0,0,0,0,0,0,0,19152
2002-11,Iowa,3951,0,32,6103,0,1,17,0,1,0,1,189,0,0,0,0,0,0,0,0,0,10295
2002-11,Kansas,0,0,2088,9391,0,187,0,8,19,0,291,779,0,0,0,0,0,0,0,0,0,12763
2002-11,Kentucky,0,0,5241,15896,0,372,0,42,101,0,1102,2960,0,0,0,0,0,0,0,0,0,25714
2002-11,Louisiana,0,0,3724,13670,0,252,0,14,29,0,846,2244,0,0,0,0,0,0,0,0,0,20779
2002-11,Maine,0,0,879,3670,0,57,0,8,38,0,43,148,0,0,0,0,0,0,0,0,0,4843
2002-11,Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-11,Maryland,2893,0,62,7098,0,13,0,0,3,0,51,219,0,0,0,0,0,0,0,0,0,10339
2002-11,Massachusetts,6482,0,1588,1882,0,38,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10705
2002-11,Michigan,10078,0,1750,25412,0,39,0,0,26,0,0,450,0,0,0,0,0,0,0,0,0,37755
2002-11,Minnesota,2820,0,1993,11860,0,89,0,2,6,0,64,745,0,0,0,0,0,0,0,0,0,17579
2002-11,Mississippi,0,0,2857,13544,0,207,0,48,86,0,982,3167,0,0,0,0,0,0,0,0,0,20891
2002-11,Missouri,0,0,2387,18575,0,125,0,0,16,0,187,2455,0,0,0,0,0,0,0,0,0,23745
2002-11,Montana,207,0,992,3638,0,93,0,3,35,0,258,1028,0,0,0,0,0,0,0,0,0,6254
2002-11,Nebraska,1370,0,7,3918,0,0,0,0,1,0,1,176,0,0,0,0,0,0,0,0,0,5473
2002-11,Nevada,0,0,1644,2227,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975
2002-11,New Hampshire,955,0,1040,2726,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4747
2002-11,New Jersey,0,0,1284,3200,0,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4531
2002-11,New Mexico,0,0,1608,3882,0,162,0,3,15,0,412,1239,0,0,0,0,0,0,0,0,0,7321
2002-11,New York,2560,0,592,14134,0,14,49,25,0,0,1,42,0,0,0,0,0,0,0,0,0,17417
2002-11,North Carolina,6674,0,214,18178,0,125,0,19,49,0,1203,2754,0,0,0,0,0,0,0,0,0,29216
2002-11,North Dakota,124,0,326,2479,0,13,0,0,2,0,32,192,0,0,0,0,0,0,0,0,0,3168
2002-11,Ohio,0,0,7939,25864,0,550,0,14,79,0,499,2156,0,0,0,0,0,0,0,0,0,37101
2002-11,Oklahoma,0,0,2973,10753,0,311,0,14,61,0,871,3000,0,0,0,0,0,0,0,0,0,17983
2002-11,Oregon,52,0,3581,7807,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11606
2002-11,Pennsylvania,293,0,0,61455,0,610,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62360
2002-11,Puerto Rico,0,0,496,122,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630
2002-11,Rhode Island,0,0,344,495,0,77,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,918
2002-11,South Carolina,783,0,2843,7295,0,101,1,4,4,0,447,882,0,0,0,0,0,0,0,0,0,12360
2002-11,South Dakota,0,0,641,3835,0,44,0,1,2,0,66,299,0,0,0,0,0,0,0,0,0,4888
2002-11,Tennessee,0,0,8047,17707,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26066
2002-11,Texas,10686,0,11955,35618,0,955,0,57,114,0,2975,7201,0,0,0,0,0,0,0,0,0,69561
2002-11,Utah,0,0,1327,4727,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6100
2002-11,Vermont,0,0,393,1835,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2245
2002-11,Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-11,Virginia,0,0,5725,16402,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22305
2002-11,Washington,4181,0,4051,7273,0,224,15,7,14,0,626,1112,0,0,0,0,0,0,0,0,0,17503
2002-11,West Virginia,0,0,2536,10929,0,251,0,7,13,0,542,3737,0,0,0,0,0,0,0,0,0,18015
2002-11,Wisconsin,0,0,3452,16555,0,5,0,0,4,0,6,312,0,0,0,0,0,0,0,0,0,20334
2002-11,Wyoming,106,0,532,1703,0,41,0,7,32,0,93,241,0,0,0,0,0,0,0,0,0,2755
2002-10,Alabama,0,0,5174,10495,0,316,0,40,72,0,1265,2206,0,0,0,0,0,0,0,0,0,19568
2002-10,Alaska,0,0,1183,2643,0,140,0,7,8,0,264,454,0,0,0,0,0,0,0,0,0,4699
2002-10,Arizona,2466,0,3595,5172,0,190,0,36,30,0,790,862,0,0,0,0,0,0,0,0,0,13141
2002-10,Arkansas,380,0,2495,9816,0,240,1,15,39,0,602,2588,0,0,0,0,0,0,0,0,0,16176
2002-10,California,13175,0,18527,21054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52756
2002-10,Colorado,0,0,5487,12352,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18322
2002-10,Connecticut,3258,0,2532,3359,0,158,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9534
2002-10,Delaware,0,0,463,1282,0,25,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1778
2002-10,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-10,Florida,0,0,11108,13511,0,460,3,24,26,0,587,643,0,0,0,0,0,0,0,0,0,26362
2002-10,Georgia,2387,0,5667,14075,0,236,6044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28409
2002-10,Guam,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2002-10,Hawaii,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693
2002-10,Idaho,861,0,930,4024,0,80,0,9,18,0,228,1096,0,0,0,0,0,0,0,0,0,7246
2002-10,Illinois,27466,0,4456,9777,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41917
2002-10,Indiana,7531,0,1653,7308,0,12,0,0,7,0,0,486,0,0,0,0,0,0,0,0,0,16997
2002-10,Iowa,4748,0,14,5187,0,3,0,0,3,0,4,240,0,0,0,0,0,0,0,0,0,10199
2002-10,Kansas,0,0,2012,7229,0,186,0,4,11,0,308,654,0,0,0,0,0,0,0,0,0,10404
2002-10,Kentucky,0,0,5120,12837,0,396,0,57,88,0,1062,2477,0,0,0,0,0,0,0,0,0,22037
2002-10,Louisiana,0,0,3878,11092,0,213,0,8,22,0,872,2453,0,0,0,0,0,0,0,0,0,18538
2002-10,Maine,0,0,1188,6408,0,69,0,7,38,0,30,250,0,0,0,0,0,0,0,0,0,7990
2002-10,Mariana Islands,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2002-10,Maryland,3025,0,55,5540,0,14,0,2,6,0,64,157,0,0,0,0,0,0,0,0,0,8863
2002-10,Massachusetts,8084,0,1719,1875,0,37,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12415
2002-10,Michigan,12147,0,2071,22792,0,37,0,0,22,0,1,360,0,0,0,0,0,0,0,0,0,37430
2002-10,Minnesota,3667,0,2340,17425,0,99,0,0,8,0,88,859,0,0,0,0,0,0,0,0,0,24486
2002-10,Mississippi,0,0,2743,8029,0,160,0,67,94,0,943,2133,0,0,0,0,0,0,0,0,0,14169
2002-10,Missouri,0,0,2618,17189,0,139,0,5,27,0,209,2171,0,0,0,0,0,0,0,0,0,22358
2002-10,Montana,290,0,1172,5908,0,130,52,5,32,0,287,1681,0,0,0,0,0,0,0,0,0,9557
2002-10,Nebraska,1810,0,13,3652,0,10,0,0,0,0,2,152,0,0,0,0,0,0,0,0,0,5639
2002-10,Nevada,0,0,1894,2312,0,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4310
2002-10,New Hampshire,1124,0,1239,3335,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5715
2002-10,New Jersey,0,0,1322,2583,0,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3961
2002-10,New Mexico,0,0,1961,4024,0,129,0,0,15,0,404,1525,0,0,0,0,0,0,0,0,0,8058
2002-10,New York,3642,0,621,14158,0,14,65,101,0,0,0,28,0,0,0,0,0,0,0,0,0,18629
2002-10,North Carolina,7962,0,213,14468,0,102,0,24,50,0,1210,2600,0,0,0,0,0,0,0,0,0,26629
2002-10,North Dakota,112,0,327,3728,0,21,0,2,1,0,32,252,0,0,0,0,0,0,0,0,0,4475
2002-10,Ohio,0,0,7660,19222,0,590,0,27,87,0,517,1390,0,0,0,0,0,0,0,0,0,29493
2002-10,Oklahoma,0,0,3412,8485,0,319,0,19,54,0,870,2318,0,0,0,0,0,0,0,0,0,15477
2002-10,Oregon,29,0,3423,8527,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12187
2002-10,Pennsylvania,483,0,0,57986,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58871
2002-10,Puerto Rico,0,0,797,164,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978
2002-10,Rhode Island,0,0,344,541,0,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,959
2002-10,South Carolina,1035,0,2668,5596,0,103,0,5,6,0,449,986,0,0,0,0,0,0,0,0,0,10848
2002-10,South Dakota,0,0,559,5404,0,34,0,0,4,0,63,358,0,0,0,0,0,0,0,0,0,6422
2002-10,Tennessee,0,0,7362,12112,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19767
2002-10,Texas,9264,0,11678,33839,0,1023,0,68,125,0,2988,7228,0,0,0,0,0,0,0,0,0,66213
2002-10,Utah,0,0,1228,4630,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5922
2002-10,Vermont,0,0,480,2074,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586
2002-10,Virgin Islands,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002-10,Virginia,0,0,6792,13444,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20438
2002-10,Washington,4647,0,3791,8363,0,280,27,8,15,0,691,1815,0,0,0,0,0,0,0,0,0,19637
2002-10,West Virginia,0,0,2680,9080,0,207,0,2,10,0,556,2674,0,0,0,0,0,0,0,0,0,15209
2002-10,Wisconsin,0,0,3694,17404,0,2,0,0,8,0,2,251,0,0,0,0,0,0,0,0,0,21361
2002-10,Wyoming,182,0,609,1885,0,53,0,4,22,0,97,400,0,0,0,0,0,0,0,0,0,3252
2002-09,Alabama,0,0,4762,9589,0,301,0,72,68,0,1292,1877,0,0,0,0,0,0,0,0,0,17961
2002-09,Alaska,0,0,733,1846,0,62,0,3,12,0,130,241,0,0,0,0,0,0,0,0,0,3027
2002-09,Arizona,2262,0,3630,4820,0,203,0,36,16,0,698,609,0,0,0,0,0,0,0,0,0,12274
2002-09,Arkansas,274,0,2105,7131,0,225,0,17,45,0,598,2130,0,0,0,0,0,0,0,0,0,12525
2002-09,California,15316,0,16538,20960,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52881
2002-09,Colorado,0,0,5421,10240,0,367,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16030
2002-09,Connecticut,2807,0,1784,2180,0,114,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7020
2002-09,Delaware,0,0,336,973,0,14,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1330
2002-09,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09,Florida,0,0,10087,11020,0,418,0,17,17,0,550,586,0,0,0,0,0,0,0,0,0,22695
2002-09,Georgia,2066,0,5095,10755,0,173,4899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22988
2002-09,Guam,0,0,6,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2002-09,Hawaii,598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599
2002-09,Idaho,1178,0,1101,4130,0,98,0,2,19,0,206,1023,0,0,0,0,0,0,0,0,0,7757
2002-09,Illinois,25447,0,3479,7569,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36661
2002-09,Indiana,6553,0,1201,4811,0,4,0,0,5,0,1,376,0,0,0,0,0,0,0,0,0,12951
2002-09,Iowa,3649,0,18,3558,0,8,7,0,1,0,6,180,0,0,0,0,0,0,0,0,0,7427
2002-09,Kansas,0,0,1704,5039,0,174,0,15,3,0,259,516,0,0,0,0,0,0,0,0,0,7710
2002-09,Kentucky,0,0,4741,9587,0,350,0,43,83,0,905,1936,0,0,0,0,0,0,0,0,0,17645
2002-09,Louisiana,0,0,4019,9186,0,187,0,12,17,0,791,1718,0,0,0,0,0,0,0,0,0,15930
2002-09,Maine,0,0,1215,4580,0,159,0,8,37,0,52,158,0,0,0,0,0,0,0,0,0,6209
2002-09,Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09,Maryland,2092,0,58,4222,0,12,0,0,4,0,55,127,0,0,0,0,0,0,0,0,0,6570
2002-09,Massachusetts,4504,0,1194,1301,0,26,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7535
2002-09,Michigan,10668,0,1913,19545,0,88,0,0,20,0,0,323,0,0,0,0,0,0,0,0,0,32557
2002-09,Minnesota,3040,0,2280,16964,0,99,0,1,10,0,60,741,0,0,0,0,0,0,0,0,0,23195
2002-09,Mississippi,0,0,2555,5969,0,163,0,51,81,0,873,1667,0,0,0,0,0,0,0,0,0,11359
2002-09,Missouri,0,0,2380,11189,0,110,0,1,14,0,178,1543,0,0,0,0,0,0,0,0,0,15415
2002-09,Montana,253,0,1293,4603,0,134,28,2,24,0,313,1233,0,0,0,0,0,0,0,0,0,7883
2002-09,Nebraska,1242,0,16,2240,0,2,0,0,2,0,0,144,0,0,0,0,0,0,0,0,0,3646
2002-09,Nevada,0,0,1659,2029,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3781
2002-09,New Hampshire,998,0,1111,2567,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4704
2002-09,New Jersey,0,0,1133,1926,0,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3095
2002-09,New Mexico,0,0,1529,3172,0,135,0,2,8,0,419,993,0,0,0,0,0,0,0,0,0,6258
2002-09,New York,3599,0,614,11156,0,15,52,1,0,0,0,20,0,0,0,0,0,0,0,0,0,15457
2002-09,North Carolina,6835,0,210,11182,0,93,0,23,50,0,1027,1976,0,0,0,0,0,0,0,0,0,21396
2002-09,North Dakota,115,0,336,2940,0,10,0,0,0,0,37,204,0,0,0,0,0,0,0,0,0,3642
2002-09,Ohio,0,0,7064,16062,0,570,0,20,64,0,502,1132,0,0,0,0,0,0,0,0,0,25414
2002-09,Oklahoma,0,0,2875,6396,0,278,0,16,43,0,774,2002,0,0,0,0,0,0,0,0,0,12384
2002-09,Oregon,118,0,3724,10604,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14680
2002-09,Pennsylvania,407,0,0,47082,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47875
2002-09,Puerto Rico,0,0,637,152,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808
2002-09,Rhode Island,0,0,318,411,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791
2002-09,South Carolina,875,0,2619,5312,0,80,0,3,6,0,413,827,0,0,0,0,0,0,0,0,0,10135
2002-09,South Dakota,0,0,558,3656,0,33,0,0,2,0,66,264,0,0,0,0,0,0,0,0,0,4579
2002-09,Tennessee,0,0,6368,9989,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16574
2002-09,Texas,8059,0,10542,34910,0,912,0,71,114,0,2708,5800,0,0,0,0,0,0,0,0,0,63116
2002-09,Utah,0,0,1215,4328,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5598
2002-09,Vermont,0,0,480,1520,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2002-09,Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-09,Virginia,0,0,5287,10484,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15936
